id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,attack_score,defence_score,overall_custom
1,434,9930,2010-02-22 00:00:00,60,Balanced,49.0,Little,50.0,Mixed,Organised,60.0,Normal,65.0,Normal,55.0,Normal,Organised,50,Medium,55.0,Press,45.0,Normal,Cover,60.0,50.0,55.0
2,434,9930,2014-09-19 00:00:00,52,Balanced,48.0,Normal,56.0,Mixed,Organised,54.0,Normal,63.0,Normal,64.0,Normal,Organised,47,Medium,44.0,Press,54.0,Normal,Cover,60.333333333333336,48.333333333333336,54.333333333333336
3,434,9930,2015-09-10 00:00:00,47,Balanced,41.0,Normal,54.0,Mixed,Organised,54.0,Normal,63.0,Normal,64.0,Normal,Organised,47,Medium,44.0,Press,54.0,Normal,Cover,60.333333333333336,48.333333333333336,54.333333333333336
4,77,8485,2010-02-22 00:00:00,70,Fast,49.0,Little,70.0,Long,Organised,70.0,Risky,70.0,Lots,70.0,Lots,Organised,60,Medium,70.0,Double,70.0,Wide,Cover,70.0,66.66666666666667,68.33333333333334
5,77,8485,2011-02-22 00:00:00,47,Balanced,49.0,Little,52.0,Mixed,Organised,53.0,Normal,48.0,Normal,52.0,Normal,Organised,47,Medium,47.0,Press,52.0,Normal,Cover,51.0,48.666666666666664,49.83333333333333
6,77,8485,2012-02-22 00:00:00,58,Balanced,49.0,Little,62.0,Mixed,Organised,45.0,Normal,70.0,Lots,55.0,Normal,Organised,40,Medium,40.0,Press,60.0,Normal,Cover,56.666666666666664,46.666666666666664,51.666666666666664
7,77,8485,2013-09-20 00:00:00,62,Balanced,49.0,Little,45.0,Mixed,Organised,40.0,Normal,50.0,Normal,55.0,Normal,Organised,42,Medium,42.0,Press,60.0,Normal,Cover,48.333333333333336,48.0,48.16666666666667
8,77,8485,2014-09-19 00:00:00,58,Balanced,64.0,Normal,62.0,Mixed,Organised,56.0,Normal,68.0,Lots,57.0,Normal,Organised,41,Medium,42.0,Press,60.0,Normal,Cover,60.333333333333336,47.666666666666664,54.0
9,77,8485,2015-09-10 00:00:00,59,Balanced,64.0,Normal,53.0,Mixed,Organised,51.0,Normal,72.0,Lots,63.0,Normal,Free Form,49,Medium,45.0,Press,63.0,Normal,Cover,62.0,52.333333333333336,57.16666666666667
10,614,8576,2010-02-22 00:00:00,60,Balanced,49.0,Little,40.0,Mixed,Organised,45.0,Normal,35.0,Normal,55.0,Normal,Organised,30,Deep,70.0,Double,30.5,Narrow,Offside Trap,45.0,43.5,44.25
11,614,8576,2011-02-22 00:00:00,65,Balanced,49.0,Little,45.0,Mixed,Organised,65.0,Normal,65.0,Normal,50.0,Normal,Organised,45,Medium,45.0,Press,50.0,Normal,Cover,60.0,46.666666666666664,53.33333333333333
12,614,8576,2012-02-22 00:00:00,59,Balanced,49.0,Little,52.0,Mixed,Organised,48.0,Normal,34.0,Normal,52.0,Normal,Organised,38,Medium,47.0,Press,53.0,Normal,Cover,44.666666666666664,46.0,45.33333333333333
13,614,8576,2013-09-20 00:00:00,59,Balanced,49.0,Little,52.0,Mixed,Organised,48.0,Normal,34.0,Normal,52.0,Normal,Organised,38,Medium,47.0,Press,53.0,Normal,Cover,44.666666666666664,46.0,45.33333333333333
14,614,8576,2014-09-19 00:00:00,59,Balanced,57.0,Normal,52.0,Mixed,Organised,48.0,Normal,38.0,Normal,52.0,Normal,Organised,38,Medium,47.0,Press,53.0,Normal,Cover,46.0,46.0,46.0
15,614,8576,2015-09-10 00:00:00,59,Balanced,57.0,Normal,52.0,Mixed,Organised,48.0,Normal,38.0,Normal,52.0,Normal,Organised,38,Medium,47.0,Press,53.0,Normal,Cover,46.0,46.0,46.0
16,47,8564,2010-02-22 00:00:00,45,Balanced,49.0,Little,30.0,Short,Free Form,55.0,Normal,45.0,Normal,70.0,Lots,Free Form,30,Deep,35.0,Press,60.0,Normal,Offside Trap,56.666666666666664,41.666666666666664,49.166666666666664
17,47,8564,2011-02-22 00:00:00,65,Balanced,49.0,Little,50.0,Mixed,Organised,50.0,Normal,60.0,Normal,50.0,Normal,Free Form,50,Medium,50.0,Press,50.0,Normal,Offside Trap,53.333333333333336,50.0,51.66666666666667
